"name","복지및급여","워라벨","사내문화","승진기회및가능성","경영진","기업추천율","ceo지지율","성장가능성","총점"
(주)사이버텔브릿지,2.7,3.0,3.3,3.1,2.8,35,48,30,3.3
(주)잉카엔트웍스,2.1,4.0,3.5,2.7,3.0,30,70,13,3.3
(주)자비스앤빌런즈,3.1,3.4,3.2,3.0,3.0,48,52,43,3.2
(주)테라핀테크,3.5,3.8,3.8,3.0,3.0,40,50,27,3.2
대한에프에이시스템(주),3.6,2.2,2.8,3.0,2.6,38,35,14,3.2
봉봉랩(주) 호텔나우,2.5,3.1,2.8,3.0,2.9,48,69,38,3.2
솔박스(주),3.1,3.5,2.9,2.8,2.8,30,64,17,3.2
오비고(주),2.9,3.5,3.4,2.9,2.7,48,61,25,3.2
한국무역정보통신(주),3.4,3.7,2.9,2.6,2.3,58,42,15,3.2
한국자산평가(주),2.4,4.0,3.5,3.3,2.4,50,30,20,3.2
(주)모비젠,2.8,3.4,3.3,3.0,2.7,50,51,23,3.2
(주)카카오엔터테인먼트,3.1,3.2,3.3,2.8,2.6,53,57,52,3.2
케이비데이타시스템(주),2.9,3.7,3.0,3.2,2.2,41,36,23,3.2
(주)소만사,3.3,2.8,2.9,3.3,3.0,47,77,37,3.2
